route_id,direction,stop_order,stop_name,source_type
1,inbound,1,Road New Condos Opposite Hatters Park,pdf
1,inbound,2,Road Front Of 4 East Hayestown Road,pdf
1,inbound,3,Oak Lane 20 Feet South Of Oak Lane,pdf
1,inbound,4,60 Feet West Of Moran,pdf
1,inbound,5,Tamarack 130 Ft West Of E Hayestown Road Near Henry Abott Tech,pdf
1,inbound,6,North Street Shopping Center,pdf
1,inbound,7,Front Of Brookside Condos,pdf
1,inbound,8,Front Of Northridge Condos,pdf
1,inbound,9,Road E Hayestown Road Front Of 96 Golden Hill Road Near 25 Mph Sign,pdf
1,inbound,10,Danbury High School,pdf
1,inbound,11,Road Terrace Street Front Of 74 Golden Hill,pdf
1,inbound,12,Road Golden Hill Av Front Of 48 Golden Hill,pdf
1,inbound,13,Road Ventura Av 50 Feet North Of Ventura Av,pdf
1,inbound,14,Golden Hill Road 200 Feet South Of Golden Hill Road,pdf
1,inbound,15,Balmforth Front Of 26 North Street,pdf
1,inbound,16,Patch Street 50 Feet North Of Patch Street,pdf
1,inbound,17,East Franklin Street 40 Feet South Of Franklin Street,pdf
1,inbound,18,Main Street 200 Ft East Of Main Street,pdf
1,inbound,19,Pulse Point,pdf
1,outbound,1,Pulse Point,pdf
1,outbound,2,Opposite 11 Rose Street,pdf
1,outbound,3,Main Street 100 Feet East Of Main Street,pdf
1,outbound,4,Garamella Front Of 27 Balmforth Avenue,pdf
1,outbound,5,Front Of 41 Balmforth Avenue,pdf
1,outbound,6,Rowan Street 25 Feet North Of Learning Center,pdf
1,outbound,7,Balmforth Maple Front Of 29 North Street,pdf
1,outbound,8,Thorpe Street 40 Feet West Of Carland Auto,pdf
1,outbound,9,Tooley Lane Front Of 429 Main C And C Deli,pdf
1,outbound,10,Road Margerie Street Front Of 13 Golden Hill Road,pdf
1,outbound,11,Road Front Of 37 Golden Hill Road,pdf
1,outbound,12,Road Ezra Road 75 Feet South Of Ezra Road,pdf
1,outbound,13,Road Berkshire Front Of 61 Golden Hill Road,pdf
1,outbound,14,Road Padanaram Road Front Of 97 Golden Hill Road,pdf
1,outbound,15,Front Of Padanaram Court,pdf
1,outbound,16,Opposite Brookside Condos,pdf
1,outbound,17,25 Feet South Of Burger King,pdf
1,outbound,18,Rowan Street Extension Front Of Savings Bank Of Danbury 12 Hayestown Avenue,pdf
1,outbound,19,Tamarack Road In Front Of 26 Hayestown Avenue,pdf
1,outbound,20,Hayestown Road In Front Of Safe Lite Auto,pdf
1,outbound,21,Virginia Avenue Extension 25 Feet North Of Virginia Avenue Entrance To Wooster Cemetary,pdf
1,outbound,22,Forest Avenue 20 Feet West Of Forest Avenue,pdf
1,outbound,23,Hospital Avenue 25 Feet North Of Hospital Avenue,pdf
1,outbound,24,Tamarack Avenue Danbury Hospital Entrance Across From 27 Hospital Avenue,pdf
1,outbound,25,Front Of 27 Hospital Avenue,pdf
1,outbound,26,Hospital Avenue Front Of 90 Locust Avenue,pdf
1,outbound,27,Osborne Street 150 Feet North Of Osborne Street,pdf
1,outbound,28,Front Of 118 Osborne Street,pdf
1,outbound,29,Somers Street 30 Feet East Of Somers Street,pdf
1,outbound,30,Springside Avenue 15 Feet West Of Springside Avenue,pdf
1,outbound,31,Front Of 5 Germantown Road,pdf
1,outbound,32,Sand Pit Road Front Of 41 Germantown Road,pdf
1,outbound,33,Road Across From 54 Sand Pit Road,pdf
1,outbound,34,Road Front Of 79 Sand Pit Road Medical Center,pdf
1,outbound,35,Sand Pit Road 100 Feet North Of Sand Pit Road,pdf
1,outbound,36,Rubson Street At North Corner Of Intersection,pdf
1,outbound,37,Stadley Rough Road 15 Feet South Stadley Rough Road,pdf
1,outbound,38,Road Stadley Rough Road Front Of 23 Great Plain Road,pdf
1,outbound,39,Road Albers Road 50 Feet North Of Albers Road,pdf
1,outbound,40,Road Opposite Diamond Road,pdf
1,outbound,41,Road Dixon Road Front Of 79 Great Plain Road,pdf
1,outbound,42,Road Street Gregory Church,pdf
1,outbound,43,Valleystream Road 15 Feet East Of Valleystream Road,pdf
1,outbound,44,Acre Drive 15 Feet West Of Acre Dr,pdf
1,outbound,45,At Town Park Vehicle Bay,pdf
2,inbound,1,Road Old Hawleyville Road Front Of Mountain Laurel Plaza,pdf
2,inbound,2,Road Copper Square,pdf
2,inbound,3,Road Mcneil Road Opposite 53 Stony Hill Road,pdf
2,inbound,4,Road Vail Road 80 Feet West Of Vail Road,pdf
2,inbound,5,Road Sand Hill Road 6 Stony Hill Road,pdf
2,inbound,6,Road Front Of Scalzo Realty,pdf
2,inbound,7,Pocono Lane Front Of Mobil,pdf
2,inbound,8,Puerta Villarte,pdf
2,inbound,9,Newtown Road Front Of Wells Fargo,pdf
2,inbound,10,Eagle Road 100 Feet West Of Eagle Road,pdf
2,inbound,11,Opposite Lesser Evil,pdf
2,inbound,12,24 Finance Dr,pdf
2,inbound,13,Road Front Of 11 Old Newtown Road,pdf
2,inbound,14,Road Newtown Road 15 Old Newtown Road,pdf
2,inbound,15,Eagle Road Front Of Holiday Inn,pdf
2,inbound,16,Super Stop N Shop Nutmeg Square,pdf
2,inbound,17,Before The Route 6 Plaza,pdf
2,inbound,18,Front Of 52 Newtown Road,pdf
2,inbound,19,Front Of Action Auto,pdf
2,inbound,20,Facility Entrance 15 Feet East Of Riverbend Condos Entrance,pdf
2,inbound,21,Newtown Road At Gulf Station,pdf
2,inbound,22,Byron Road 60 Feet North Of Byron,pdf
2,inbound,23,Triangle,pdf
2,inbound,24,Cook Street Front Of 127 Triangle Street,pdf
2,inbound,25,Triangle Street 150 Feet North Of Triangle Street,pdf
2,inbound,26,Front Of Mannkind Complex,pdf
2,inbound,27,Sheridan Street At Corner Sheridan Casper,pdf
2,inbound,28,Mcdermott Street 80 Feet West Of Mcdermott Street,pdf
2,inbound,29,Town Hill Avenue 60 Feet East Of Town Hill Avenue,pdf
2,inbound,30,Avenue Liberty Street 50 Feet South Of Liberty Street,pdf
2,inbound,31,Liberty Street Front Of Liberty Auto Repair,pdf
2,inbound,32,Independence Way 100 Ft North Independence Way Near Street Lamp Danbury Train Station,pdf
2,inbound,33,Pulse Point,pdf
2,outbound,1,Pulse Point,pdf
2,outbound,2,West Street Nvcc Pershing Building,pdf
2,outbound,3,West Street Front Of Danbury Library,pdf
2,outbound,4,50 Feet East Of Main Street,pdf
2,outbound,5,Town Hill Avenue 80 Feet West Of Town Hill Avenue,pdf
2,outbound,6,Town Hill Avenue 50 Feet East Of Town Hill Avenue,pdf
2,outbound,7,Stone Street Front Of Sacred Heart Church,pdf
2,outbound,8,Sheridan Street 40 Feet East Of Sheridan Street,pdf
2,outbound,9,In Front Of Mannkind Facility,pdf
2,outbound,10,Front Of 92 Taylor Street,pdf
2,outbound,11,Cook Street Next To Lions Condos,pdf
2,outbound,12,Triangle Terrace At The Corner Of Triangle Street And Triangle Terrace Near Pickett Fence,pdf
2,outbound,13,Purcell Drive Front Of 162 Triangle Street,pdf
2,outbound,14,Cross Street 80 Feet South Of Cross Street,pdf
2,outbound,15,Front Of 11 Newtown Road Opposite Riverbend Condos,pdf
2,outbound,16,Old Shelter Roack 25 Newtown Road Padaminas,pdf
2,outbound,17,Woodside Avenue Newtown Road 75 Feet South Of Newtown Road,pdf
2,outbound,18,Woodside Avenue Woodside Avenue Extension 20 Feet North Of Woodside Avenue Extension,pdf
2,outbound,19,Woodside Avenue Extension Eden Drive 15 Feet West Of Eden Drive,pdf
2,outbound,20,Hager Street Woodside Avenue 25 Feet East Of Woodside Avenue,pdf
2,outbound,21,Woodside Avenue Newtown Road 50 Feet South Of Newtown Road,pdf
2,outbound,22,Newtown Road Opposite 40 Newtown Road,pdf
2,outbound,23,Plumtree Road 300Ft West Of Plumtree Road Across From Sunoco,pdf
2,outbound,24,Staples Berkshire Shopping Plaza,pdf
