trip_id,arrival_time,departure_time,stop_id,stop_sequence
r1_saturday_inbound_1,06:13:00,06:13:00,6,1
r1_saturday_inbound_1,06:14:00,06:14:00,7,2
r1_saturday_inbound_1,06:15:00,06:15:00,8,3
r1_saturday_inbound_1,06:16:00,06:16:00,9,4
r1_saturday_inbound_1,06:17:00,06:17:00,10,5
r1_saturday_inbound_1,06:18:00,06:18:00,11,6
r1_saturday_inbound_1,06:18:52,06:18:52,12,7
r1_saturday_inbound_1,06:19:45,06:19:45,13,8
r1_saturday_inbound_1,06:20:38,06:20:38,14,9
r1_saturday_inbound_1,06:21:30,06:21:30,15,10
r1_saturday_inbound_1,06:22:22,06:22:22,16,11
r1_saturday_inbound_1,06:23:15,06:23:15,17,12
r1_saturday_inbound_1,06:24:08,06:24:08,18,13
r1_saturday_inbound_1,06:25:00,06:25:00,19,14
r1_saturday_inbound_2,06:43:00,06:43:00,6,1
r1_saturday_inbound_2,06:44:00,06:44:00,7,2
r1_saturday_inbound_2,06:45:00,06:45:00,8,3
r1_saturday_inbound_2,06:46:00,06:46:00,9,4
r1_saturday_inbound_2,06:47:00,06:47:00,10,5
r1_saturday_inbound_2,06:48:00,06:48:00,11,6
r1_saturday_inbound_2,06:48:52,06:48:52,12,7
r1_saturday_inbound_2,06:49:45,06:49:45,13,8
r1_saturday_inbound_2,06:50:38,06:50:38,14,9
r1_saturday_inbound_2,06:51:30,06:51:30,15,10
r1_saturday_inbound_2,06:52:22,06:52:22,16,11
r1_saturday_inbound_2,06:53:15,06:53:15,17,12
r1_saturday_inbound_2,06:54:08,06:54:08,18,13
r1_saturday_inbound_2,06:55:00,06:55:00,19,14
r1_saturday_inbound_3,07:13:00,07:13:00,6,1
r1_saturday_inbound_3,07:14:00,07:14:00,7,2
r1_saturday_inbound_3,07:15:00,07:15:00,8,3
r1_saturday_inbound_3,07:16:00,07:16:00,9,4
r1_saturday_inbound_3,07:17:00,07:17:00,10,5
r1_saturday_inbound_3,07:18:00,07:18:00,11,6
r1_saturday_inbound_3,07:18:52,07:18:52,12,7
r1_saturday_inbound_3,07:19:45,07:19:45,13,8
r1_saturday_inbound_3,07:20:38,07:20:38,14,9
r1_saturday_inbound_3,07:21:30,07:21:30,15,10
r1_saturday_inbound_3,07:22:22,07:22:22,16,11
r1_saturday_inbound_3,07:23:15,07:23:15,17,12
r1_saturday_inbound_3,07:24:08,07:24:08,18,13
r1_saturday_inbound_3,07:25:00,07:25:00,19,14
r1_saturday_inbound_4,07:43:00,07:43:00,6,1
r1_saturday_inbound_4,07:44:00,07:44:00,7,2
r1_saturday_inbound_4,07:45:00,07:45:00,8,3
r1_saturday_inbound_4,07:46:00,07:46:00,9,4
r1_saturday_inbound_4,07:47:00,07:47:00,10,5
r1_saturday_inbound_4,07:48:00,07:48:00,11,6
r1_saturday_inbound_4,07:48:52,07:48:52,12,7
r1_saturday_inbound_4,07:49:45,07:49:45,13,8
r1_saturday_inbound_4,07:50:38,07:50:38,14,9
r1_saturday_inbound_4,07:51:30,07:51:30,15,10
r1_saturday_inbound_4,07:52:22,07:52:22,16,11
r1_saturday_inbound_4,07:53:15,07:53:15,17,12
r1_saturday_inbound_4,07:54:08,07:54:08,18,13
r1_saturday_inbound_4,07:55:00,07:55:00,19,14
r1_saturday_inbound_5,08:13:00,08:13:00,6,1
r1_saturday_inbound_5,08:14:00,08:14:00,7,2
r1_saturday_inbound_5,08:15:00,08:15:00,8,3
r1_saturday_inbound_5,08:16:00,08:16:00,9,4
r1_saturday_inbound_5,08:17:00,08:17:00,10,5
r1_saturday_inbound_5,08:18:00,08:18:00,11,6
r1_saturday_inbound_5,08:18:52,08:18:52,12,7
r1_saturday_inbound_5,08:19:45,08:19:45,13,8
r1_saturday_inbound_5,08:20:38,08:20:38,14,9
r1_saturday_inbound_5,08:21:30,08:21:30,15,10
r1_saturday_inbound_5,08:22:22,08:22:22,16,11
r1_saturday_inbound_5,08:23:15,08:23:15,17,12
r1_saturday_inbound_5,08:24:08,08:24:08,18,13
r1_saturday_inbound_5,08:25:00,08:25:00,19,14
r1_saturday_inbound_6,08:43:00,08:43:00,6,1
